eng_ngram_surp,zh_ngram_surp,
5.0659394,5.630717,0.5647776
5.4342823,5.630717,0.1964347
4.800256,4.787219,-0.013037
1.4044223,2.0009315,0.5965092
1.4044223,5.630717,4.2262947
2.291965,1.7983218,-0.4936432
1.851445,2.1462324,0.2947874
3.6234782,4.1126027,0.4891245
3.1333272,5.3656597,2.2323325
5.0659394,5.630717,0.5647776
5.4342823,5.630717,0.1964347
4.800256,4.787219,-0.013037
1.4044223,2.0009315,0.5965092
1.4044223,5.630717,4.2262947
2.291965,1.7983218,-0.4936432
1.851445,2.1462324,0.2947874
3.6234782,4.1126027,0.4891245
3.1333272,5.3656597,2.2323325
2.2007825,2.9538004,0.7530179
1.8430461,3.7482193,1.9051732
1.851445,5.630717,3.779272
2.4591918,5.630717,3.1715252
2.4488244,2.7304764,0.281652
6.3442974,5.630717,-0.7135804
3.010745,5.630717,2.619972
4.26563,2.343508,-1.922122
1.851445,2.1462324,0.2947874
3.1333272,5.3656597,2.2323325
3.6854436,2.9547913,-0.7306523
1.4044223,5.630717,4.2262947
5.0298457,5.630717,0.6008713
5.540118,5.3656597,-0.1744583
2.918483,1.6189569,-1.2995261
2.291965,1.7983218,-0.4936432
4.800256,4.787219,-0.013037
1.851445,2.1462324,0.2947874
4.115872,2.9488792,-1.1669928
3.010745,4.62111,1.610365
1.851445,2.1462324,0.2947874
3.109845,2.9538004,-0.1560446
2.4488244,2.7304764,0.281652
4.239174,4.787219,0.548045
2.415916,4.9487543,2.5328383
2.2074938,2.0287743,-0.1787195
1.4044223,2.0009315,0.5965092
2.5903785,5.3656597,2.7752812
5.1767197,5.630717,0.4539973
2.918483,1.6189569,-1.2995261
3.939329,2.960785,-0.978544
6.1544275,5.630717,-0.5237105
3.010745,4.20795,1.197205
3.1333272,5.3656597,2.2323325
2.6782155,1.6189569,-1.0592586
1.851445,2.1462324,0.2947874
1.4044223,2.0009315,0.5965092
2.4488244,2.7304764,0.281652
6.945077,5.630717,-1.31436
3.060125,4.787219,1.727094
4.331524,3.8522584,-0.4792656
4.800256,5.2088337,0.4085777
2.291965,1.7983218,-0.4936432
1.8430461,3.7482193,1.9051732
1.4044223,2.0009315,0.5965092
3.032883,5.3656597,2.3327767
6.945077,5.630717,-1.31436
2.6782155,1.6189569,-1.0592586
4.307396,5.3656597,1.0582637
3.1333272,5.3656597,2.2323325
6.083623,5.630717,-0.452906
1.851445,2.1462324,0.2947874
5.0851774,5.3656597,0.2804823
4.115872,2.9488792,-1.1669928
1.4044223,2.0009315,0.5965092
6.945077,5.630717,-1.31436
1.4044223,2.0009315,0.5965092
2.554887,3.9682677,1.4133807
1.8430461,4.6707335,2.8276874
1.4044223,5.630717,4.2262947
2.1681285,4.4676676,2.2995391
2.1681285,4.4676676,2.2995391
3.4533527,5.2088337,1.755481
5.371793,5.630717,0.258924
1.728569,4.173788,2.445219
2.1618943,5.0596094,2.8977151
1.851445,2.1462324,0.2947874
5.260498,5.3656597,0.1051617
2.1253185,2.7147827,0.5894642
6.3442974,5.630717,-0.7135804
4.0989366,5.50172,1.4027834
4.239174,4.787219,0.548045
2.291965,1.7983218,-0.4936432
1.851445,2.1462324,0.2947874
2.918483,1.6189569,-1.2995261
4.800256,4.787219,-0.013037
2.2074938,2.0287743,-0.1787195
1.5715743,2.646433,1.0748587
5.711828,2.3499491,-3.3618789
4.307396,5.3656597,1.0582637
3.5109944,5.2088337,1.6978393
5.2704287,4.62111,-0.6493187
2.4984846,2.5225239,0.0240393
4.7338367,5.50172,0.7678833
2.554887,3.9682677,1.4133807
3.8160279,5.630717,1.8146891
2.291965,1.7983218,-0.4936432
2.6782155,1.6189569,-1.0592586
4.5919046,5.630717,1.0388124
1.851445,2.1462324,0.2947874
2.1681285,4.4676676,2.2995391
5.188303,4.4676676,-0.7206354
2.4457333,2.996527,0.5507937
6.618417,4.8605194,-1.7578976
1.4044223,2.0009315,0.5965092
1.4044223,5.630717,4.2262947
5.4972258,5.50172,0.0044942
1.4044223,5.630717,4.2262947
4.26563,2.343508,-1.922122
4.364024,5.630717,1.266693
2.2007825,5.630717,3.4299345
2.2250817,3.0190659,0.7939842
1.851445,4.058983,2.207538
1.851445,2.1462324,0.2947874
4.800256,4.787219,-0.013037
4.800256,4.787219,-0.013037
4.307396,5.3656597,1.0582637
2.4488244,2.7304764,0.281652
1.851445,2.1462324,0.2947874
2.4457333,4.4676676,2.0219343
1.4044223,2.0009315,0.5965092
3.7079575,5.630717,1.9227595
1.4044223,3.0782664,1.6738441
1.728569,4.173788,2.445219
2.1253185,2.7147827,0.5894642
5.3542414,5.630717,0.2764756
2.2074938,2.0287743,-0.1787195
2.1681285,4.4676676,2.2995391
2.1681285,4.4676676,2.2995391
4.9557304,5.630717,0.6749866
1.4044223,5.50172,4.0972977
1.4044223,5.630717,4.2262947
6.945077,5.630717,-1.31436
4.26563,2.343508,-1.922122
2.2074938,2.0287743,-0.1787195
3.9271984,5.630717,1.7035186
6.618417,4.8605194,-1.7578976
1.4044223,5.50172,4.0972977
1.4044223,5.630717,4.2262947
2.1681285,4.4676676,2.2995391
6.945077,5.630717,-1.31436
1.851445,2.1462324,0.2947874
1.851445,2.1462324,0.2947874
2.1681285,4.4676676,2.2995391
5.371793,5.630717,0.258924
5.4554744,5.50172,0.0462456
1.4044223,2.0009315,0.5965092
2.4457333,2.996527,0.5507937
4.975648,5.630717,0.655069
4.89071,2.9730263,-1.9176837
4.89071,2.9730263,-1.9176837
3.3396797,5.630717,2.2910373
3.9555223,5.3656597,1.4101374
6.1544275,5.630717,-0.5237105
1.851445,2.1462324,0.2947874
2.4591918,3.0031297,0.5439379
2.2074938,2.0287743,-0.1787195
2.1253185,5.50172,3.3764015
5.188303,5.0596094,-0.1286936
2.554887,3.9682677,1.4133807
4.800256,4.787219,-0.013037
1.851445,2.1462324,0.2947874
2.6782155,1.6189569,-1.0592586
4.7338367,5.50172,0.7678833
5.384667,5.630717,0.24605
2.4488244,2.7304764,0.281652
2.4591918,2.9233305,0.4641387
4.26563,2.343508,-1.922122
1.4044223,5.50172,4.0972977
4.800256,4.787219,-0.013037
2.1681285,4.4676676,2.2995391
2.1681285,4.4676676,2.2995391
4.781648,4.9487543,0.1671063
1.4044223,2.0009315,0.5965092
1.4044223,3.0782664,1.6738441
2.918483,1.6189569,-1.2995261
2.918483,1.6189569,-1.2995261
4.364024,5.630717,1.266693
6.618417,5.630717,-0.9877
2.1618943,5.3656597,3.2037654
2.554887,3.9682677,1.4133807
1.4044223,0.69700265,-0.70741965
2.1681285,4.4676676,2.2995391
2.9402013,5.2088337,2.2686324
3.7188442,5.50172,1.7828758
2.1681285,4.4676676,2.2995391
6.083623,5.2088337,-0.8747893
2.918483,1.6189569,-1.2995261
5.540118,5.50172,-0.038398
1.4044223,2.0009315,0.5965092
6.945077,5.50172,-1.443357
1.4044223,2.0009315,0.5965092
4.0958734,4.8605194,0.764646
4.800256,4.787219,-0.013037
2.9715788,2.7304764,-0.2411024
6.618417,4.8605194,-1.7578976
3.8882306,5.2088337,1.3206031
3.010745,4.20795,1.197205
4.0958734,4.8605194,0.764646
2.291965,1.7983218,-0.4936432
2.1681285,4.4676676,2.2995391
2.1681285,4.4676676,2.2995391
5.371793,5.0596094,-0.3121836
2.1681285,4.4676676,2.2995391
4.654271,2.7274618,-1.9268092
1.728569,4.173788,2.445219
2.6782155,1.6189569,-1.0592586
2.226341,4.011261,1.78492
1.4044223,4.8605194,3.4560971
5.4972258,5.3656597,-0.1315661
3.010745,4.20795,1.197205
5.188303,5.630717,0.442414
5.74051,5.630717,-0.109793
4.460548,4.9487543,0.4882063
5.74051,5.630717,-0.109793
4.800256,4.787219,-0.013037
2.918483,1.6189569,-1.2995261
4.161428,4.787219,0.625791
2.918483,1.6189569,-1.2995261
4.460548,4.9487543,0.4882063
2.2007825,5.630717,3.4299345
2.8942597,5.0596094,2.1653497
3.010745,4.62111,1.610365
2.1681285,4.4676676,2.2995391
4.654271,2.7274618,-1.9268092
1.4044223,2.0009315,0.5965092
4.800256,4.787219,-0.013037
2.918483,1.6189569,-1.2995261
1.4044223,5.50172,4.0972977
4.7338367,5.50172,0.7678833
5.148603,5.630717,0.482114
2.4488244,2.7304764,0.281652
2.226341,4.011261,1.78492
2.6782155,1.6189569,-1.0592586
3.010745,4.20795,1.197205
1.728569,4.173788,2.445219
1.4044223,5.630717,4.2262947
1.4044223,2.0009315,0.5965092
5.591405,4.787219,-0.804186
2.2074938,2.0287743,-0.1787195
3.1333272,5.3656597,2.2323325
2.1681285,4.4676676,2.2995391
2.1681285,4.4676676,2.2995391
5.347135,5.2088337,-0.1383013
1.851445,2.1462324,0.2947874
1.4044223,2.0009315,0.5965092
3.010745,4.20795,1.197205
2.4958913,5.50172,3.0058287
1.4044223,2.0009315,0.5965092
2.6782155,1.6189569,-1.0592586
3.7188442,5.50172,1.7828758
4.800256,4.787219,-0.013037
4.800256,4.787219,-0.013037
