retrained_eng_ngram_surp,retrained_zh_ngram_surp
4.3777657,7.239988
4.3976407,6.609683
8.735376,7.0391965
6.2575774,6.734926
4.3671575,7.1670523
6.7056246,7.239988
8.090312,7.2971773
4.866945,7.1807833
4.587075,6.558925
4.1749787,7.1670523
4.6108036,6.8863854
4.431441,7.2421484
1.823173,7.289942
3.3522766,6.6978993
4.409446,7.257902
3.9176433,6.8726544
0.41413483,7.1807833
5.083028,7.198451
3.5477002,7.1598167
5.472309,7.481098
2.8349388,7.1670523
8.200979,7.2278123
0.7169859,6.8863854
6.7056246,7.316704
4.8146243,7.1670523
4.3826237,7.2360053
3.994584,7.239988
4.7632365,7.1735477
3.5559778,7.481098
8.613034,7.1875896
7.7592635,6.8863854
7.9693475,7.2971773
0.4780558,6.217055
6.3012614,7.257902
6.3747535,7.1670523
3.7350116,7.198451
5.196397,7.4153876
4.689405,7.2105746
1.8010569,5.762203
5.854803,7.344206
3.9620707,7.239988
0.4242994,7.191703
6.8811045,7.3514414
6.206477,6.572656
3.2483873,7.1735477
4.707431,7.239988
5.1947956,7.481098
4.404897,4.5610795
2.5925682,7.1670523
5.1635413,7.1670523
3.3893683,7.259735
1.5665301,6.572656
6.0814047,7.310274
3.311642,6.94559
5.680324,7.205999
3.2709658,6.734926
3.3989112,6.3825297
3.8067067,6.4618325
6.7056246,7.2360053
7.24104,7.1807833
5.4305625,7.1670523
5.618276,7.344206
8.141255,7.481098
3.7198813,7.344206
1.5052847,4.552072
1.9896016,7.21781
0.8634083,5.8762274
3.967597,7.2105746
2.1603994,6.8726544
1.5192232,7.1911974
7.4531665,5.093579
3.1494973,7.1875896
3.3114235,7.2331753
0.5834939,7.239988
1.7853019,7.1807833
5.323341,7.1670523
4.991357,6.3962607
3.8198802,6.8142934
6.250285,7.3514414
7.333035,7.275574
3.6570647,7.1912155
8.248479,7.3514414
7.8522363,7.1670523
8.248479,7.0391965
1.9623171,6.249137
7.0378404,7.22877
4.019133,7.1670523
3.469161,7.3514414
5.8731065,7.39772
2.3084245,6.4816427
2.3296232,7.0570436
4.1203575,7.1670523
0.7708989,6.8863854
4.4946585,6.9416075
3.366463,6.5835757
3.4567983,7.0391965
4.1828976,7.1807833
4.1843386,7.1670523
3.762106,7.8777566
5.1187897,6.7190056
8.133858,7.1807833
8.030899,7.2971773
3.707823,7.1807833
8.248479,7.3514414
3.1844795,7.205999
4.590762,7.180354
3.4501503,7.21781
3.430584,7.198451
3.0357232,7.3112745
3.4342005,7.268088
0.77142906,6.4618325
2.1318514,6.132743
4.276408,7.1807833
7.857838,7.1940947
8.115062,7.2971773
1.7825531,6.8142934
4.8724017,7.344206
7.818054,7.1670523
8.591108,6.837955
7.5763564,7.1807833
1.2749313,7.2971773
6.4535584,7.1985373
3.469161,7.21781
2.876232,7.001835
3.73452,7.198451
4.835939,7.1670523
3.7497296,7.1778545
7.9750466,7.446082
4.0401726,7.39772
7.707778,7.1875896
8.248479,7.180354
6.2313023,7.1807833
7.8788457,5.918734
4.9370923,7.5484495
1.5246788,4.1759996
2.7546117,7.1735477
2.566617,7.39772
8.248479,6.7433143
5.6599855,7.1875896
2.4533002,7.1598167
2.9415855,7.5484495
8.228504,6.119012
7.657422,6.558925
8.324909,7.2971773
4.116343,7.2971773
8.230397,7.1875896
3.469161,7.344206
5.8762865,7.344206
2.6763256,7.235478
4.4602823,6.7665
3.469161,7.0570436
7.6745872,7.5484495
4.3503995,7.1670523
6.0680285,7.3514414
6.1870685,6.8863854
3.3920162,7.1807833
2.071745,5.860838
6.266668,7.1807833
4.6920133,7.39772
0.64427114,7.198451
5.903373,7.3514414
2.9313195,6.3468947
6.0182986,7.1807833
8.252295,7.2971773
4.2082496,7.239988
4.5843525,7.2327523
3.9092605,7.1670523
5.7097316,7.1598167
3.4047408,6.7014213
4.046175,5.642432
