eng_surp,zh_surp,
1.4044223,1.6189569,0.2145346
1.4044223,2.0009315,0.5965092
1.4044223,3.497618,2.0931957
2.1946468,2.0009315,-0.1937153
2.4591918,5.0596094,2.6004176
5.840043,1.6189569,-4.2210861
5.840043,2.1462324,-3.6938106
2.2074938,4.787219,2.5797252
2.1681285,2.9846766,0.8165481
3.7019696,5.630717,1.9287474
2.918483,3.9682677,1.0497847
1.8430461,3.7482193,1.9051732
2.5248864,2.1462324,-0.378654
2.4591918,5.2088337,2.7496419
2.2074938,5.50172,3.2942262
3.6630464,5.2088337,1.5457873
2.7012267,5.50172,2.8004933
5.840043,5.50172,-0.338323
5.840043,5.630717,-0.209326
5.840043,2.1462324,-3.6938106
2.4984846,5.0596094,2.5611248
2.4984846,2.9547913,0.4563067
4.8298626,5.630717,0.8008544
2.291965,4.9487543,2.6567893
2.5023782,4.5773764,2.0749982
1.8430461,2.6656568,0.8226107
2.918483,1.6189569,-1.2995261
4.1006036,4.0442634,-0.0563402
2.5248864,2.1462324,-0.378654
2.1681285,4.4676676,2.2995391
2.918483,2.3499491,-0.5685339
2.2074938,2.1462324,-0.0612614
2.0408018,4.9487543,2.9079525
5.840043,5.50172,-0.338323
5.840043,5.50172,-0.338323
6.945077,5.50172,-1.443357
2.2074938,2.0287743,-0.1787195
5.4342823,2.0009315,-3.4333508
2.2074938,2.9538004,0.7463066
5.840043,3.497618,-2.342425
2.918483,1.6189569,-1.2995261
3.4400818,4.7245216,1.2844398
5.840043,3.497618,-2.342425
5.840043,4.62111,-1.218933
2.4984846,4.669745,2.1712604
2.918483,1.6189569,-1.2995261
1.8430461,2.1462324,0.3031863
6.239068,2.0009315,-4.2381365
2.2074938,5.630717,3.4232232
5.2663107,5.630717,0.3644063
3.060125,4.787219,1.727094
2.1681285,3.8522584,1.6841299
5.840043,3.497618,-2.342425
1.4044223,1.6189569,0.2145346
1.8430461,4.669745,2.8266989
4.773556,2.0009315,-2.7726245
5.9218626,4.9487543,-0.9731083
5.6356516,5.50172,-0.1339316
2.918483,2.6656568,-0.2528262
6.815943,4.9487543,-1.8671887
3.4533527,5.3656597,1.912307
5.840043,3.497618,-2.342425
2.5248864,2.1462324,-0.378654
1.4044223,3.497618,2.0931957
3.2227793,2.9488792,-0.2739001
2.4591918,2.0009315,-0.4582603
1.555321,2.9538004,1.3984794
1.4044223,2.0009315,0.5965092
2.2250817,2.343508,0.1184263
2.415916,2.996527,0.580611
3.991511,5.2088337,1.2173227
3.7019696,4.4676676,0.765698
2.5248864,5.3656597,2.8407733
4.5356784,1.6189569,-2.9167215
5.711828,5.2088337,-0.5029943
4.9073935,5.630717,0.7233235
6.945077,3.9091623,-3.0359147
6.945077,2.1462324,-4.7988446
5.840043,3.497618,-2.342425
2.4591918,2.7147827,0.2555909
1.4044223,4.787219,3.3827967
5.840043,3.497618,-2.342425
6.815943,5.630717,-1.185226
5.840043,3.497618,-2.342425
2.1681285,2.1462324,-0.0218961
2.291965,2.6656568,0.3736918
2.4984846,5.630717,3.1322324
5.840043,3.497618,-2.342425
6.815943,2.0287743,-4.7871687
1.555321,2.646433,1.091112
4.1286664,3.497618,-0.6310484
1.4044223,5.50172,4.0972977
2.7389264,5.630717,2.8917906
6.945077,2.6656568,-4.2794202
4.6285834,5.3656597,0.7370763
1.4044223,3.497618,2.0931957
2.554887,3.9682677,1.4133807
6.945077,4.5773764,-2.3677006
2.291965,1.7983218,-0.4936432
4.597189,4.8605194,0.2633304
2.7389264,5.630717,2.8917906
2.7011375,2.1462324,-0.5549051
1.4044223,4.8605194,3.4560971
5.840043,3.497618,-2.342425
2.918483,4.669745,1.751262
2.1681285,4.4676676,2.2995391
2.1681285,2.0009315,-0.167197
1.4044223,3.0031297,1.5987074
2.7389264,4.4074154,1.668489
1.4044223,0.69700265,-0.70741965
5.126416,5.630717,0.504301
1.728569,5.630717,3.902148
1.8430461,5.0596094,3.2165633
2.9881597,2.960785,-0.0273747
2.2074938,2.1462324,-0.0612614
2.7974894,2.1462324,-0.651257
1.4044223,3.497618,2.0931957
2.2250817,5.50172,3.2766383
1.4044223,3.1927414,1.7883191
3.010745,5.50172,2.490975
4.6974473,2.1462324,-2.5512149
5.840043,4.6707335,-1.1693095
5.840043,2.0009315,-3.8391115
2.2074938,4.9487543,2.7412605
2.2074938,4.787219,2.5797252
1.4044223,2.9689074,1.5644851
1.4044223,5.50172,4.0972977
4.0582128,3.1927414,-0.8654714
2.1681285,2.0287743,-0.1393542
3.7019696,4.4676676,0.765698
5.840043,4.4676676,-1.3723754
5.0984936,4.9487543,-0.1497393
3.1501498,3.9682677,0.8181179
2.6782155,4.9487543,2.2705388
2.2250817,5.0596094,2.8345277
2.7974894,5.630717,2.8332276
2.291965,2.0287743,-0.2631907
5.840043,3.497618,-2.342425
2.5903785,4.4676676,1.8772891
2.5248864,5.630717,3.1058306
1.728569,4.9487543,3.2201853
1.4044223,5.630717,4.2262947
3.991511,5.630717,1.639206
2.1681285,2.1462324,-0.0218961
2.1681285,2.1462324,-0.0218961
2.1681285,4.4676676,2.2995391
5.840043,3.497618,-2.342425
5.840043,3.497618,-2.342425
4.773556,2.0009315,-2.7726245
1.8430461,3.7482193,1.9051732
5.840043,3.497618,-2.342425
2.4985485,4.098564,1.6000155
3.6630464,5.2088337,1.5457873
5.840043,3.497618,-2.342425
2.554887,4.1576653,1.6027783
4.6713934,5.630717,0.9593236
1.5715743,2.1462324,0.5746581
2.4591918,3.0031297,0.5439379
1.4044223,2.0287743,0.624352
2.1253185,2.7147827,0.5894642
5.840043,3.497618,-2.342425
2.4984846,4.669745,2.1712604
5.840043,2.8724964,-2.9675466
2.2074938,2.1462324,-0.0612614
2.0172307,1.6189569,-0.3982738
6.945077,1.6189569,-5.3261201
3.109845,5.630717,2.520872
4.8865395,5.630717,0.7441775
2.0408018,3.6292984,1.5884966
2.4984846,4.9487543,2.4502697
5.80427,2.9547913,-2.8494787
5.840043,3.497618,-2.342425
4.2896705,4.4676676,0.1779971
2.291965,4.4676676,2.1757026
2.1253185,3.497618,1.3722995
1.4044223,2.0009315,0.5965092
5.840043,3.497618,-2.342425
2.918483,1.6189569,-1.2995261
2.918483,1.6189569,-1.2995261
5.840043,3.497618,-2.342425
2.0172307,3.497618,1.4803873
5.840043,3.9091623,-1.9308807
1.555321,3.9682677,2.4129467
3.991511,5.2088337,1.2173227
5.0659394,5.630717,0.5647776
5.840043,5.50172,-0.338323
2.6492352,2.0287743,-0.6204609
4.8841057,5.630717,0.7466113
5.840043,3.497618,-2.342425
2.918483,1.6189569,-1.2995261
2.2007825,2.9538004,0.7530179
2.7389264,2.0009315,-0.7379949
5.840043,5.630717,-0.209326
3.109845,2.0009315,-1.1089135
4.303043,5.630717,1.327674
3.306773,5.630717,2.323944
1.4044223,3.497618,2.0931957
2.1681285,5.630717,3.4625885
1.3666971,5.50172,4.1350229
3.010745,4.62111,1.610365
4.0925264,4.1099396,0.0174132
2.5903785,1.6189569,-0.9714216
4.4763956,5.50172,1.0253244
4.2896705,4.4676676,0.1779971
2.1253185,3.497618,1.3722995
2.4984846,4.8605194,2.3620348
2.8984623,4.9487543,2.050292
5.21399,4.173788,-1.040202
2.554887,1.6189569,-0.9359301
2.918483,1.6189569,-1.2995261
4.0989366,4.787219,0.6882824
3.6630464,5.2088337,1.5457873
3.010745,4.20795,1.197205
3.017301,5.630717,2.613416
2.7389264,5.630717,2.8917906
2.1681285,5.630717,3.4625885
3.4494674,4.20795,0.7584826
4.2896705,4.4676676,0.1779971
5.840043,3.497618,-2.342425
3.991511,1.6189569,-2.3725541
5.840043,3.497618,-2.342425
2.918483,1.6189569,-1.2995261
5.2972364,4.9487543,-0.3484821
2.2007825,2.9538004,0.7530179
1.4044223,5.0596094,3.6551871
3.010745,4.62111,1.610365
6.945077,5.0596094,-1.8854676
2.2250817,1.6189569,-0.6061248
5.540118,2.0009315,-3.5391865
1.4044223,3.497618,2.0931957
5.65959,1.7983218,-3.8612682
1.9052911,5.3656597,3.4603686
6.945077,5.630717,-1.31436
5.3542414,5.50172,0.1474786
6.1544275,5.630717,-0.5237105
2.6492352,1.6189569,-1.0302783
1.4044223,1.6189569,0.2145346
1.8430461,4.20795,2.3649039
1.728569,4.173788,2.445219
3.991511,5.2088337,1.2173227
2.9656568,2.0009315,-0.9647253
1.4044223,3.497618,2.0931957
2.2074938,2.0287743,-0.1787195
2.4984846,5.630717,3.1322324
4.2896705,4.4676676,0.1779971
4.2896705,5.630717,1.3410465
5.840043,3.497618,-2.342425
2.1681285,2.1462324,-0.0218961
1.4044223,2.0009315,0.5965092
1.9606384,4.20795,2.2473116
4.79319,4.787219,-0.005971
1.4044223,2.0009315,0.5965092
2.226341,4.011261,1.78492
2.7974894,5.3656597,2.5681703
2.5903785,4.4676676,1.8772891
5.840043,3.497618,-2.342425
1.3666971,1.6189569,0.2522598
1.4044223,2.0287743,0.624352
6.945077,1.6189569,-5.3261201
2.5903785,2.9538004,0.3634219
2.5248864,4.9487543,2.4238679
3.7019696,4.4676676,0.765698
2.1946468,5.2088337,3.0141869
2.4984846,5.3656597,2.8671751
2.5248864,2.0287743,-0.4961121
6.083623,4.354512,-1.729111
4.1286664,3.8933115,-0.2353549
1.8430461,3.7482193,1.9051732
1.4044223,2.0009315,0.5965092
2.7974894,2.1462324,-0.651257
2.5903785,2.3499491,-0.2404294
5.591405,1.6189569,-3.9724481
1.4044223,2.0287743,0.624352
3.7019696,4.4676676,0.765698
3.7019696,4.4676676,0.765698
1.4044223,4.4676676,3.0632453
1.4044223,1.6189569,0.2145346
5.840043,5.2088337,-0.6312093
3.021823,3.497618,0.475795
5.840043,3.497618,-2.342425
1.4044223,5.630717,4.2262947
4.291205,5.630717,1.339512
5.3793173,3.5217443,-1.857573
5.840043,3.497618,-2.342425
2.4984846,5.630717,3.1322324
4.2168193,2.9111989,-1.3056204
1.4044223,5.630717,4.2262947
5.840043,3.497618,-2.342425
5.840043,3.497618,-2.342425
1.4044223,3.497618,2.0931957
3.6155865,5.630717,2.0151305
1.4044223,5.630717,4.2262947
3.7019696,5.630717,1.9287474
4.4911704,5.630717,1.1395466
4.6713934,5.630717,0.9593236
6.945077,4.173788,-2.771289
2.1253185,3.497618,1.3722995
2.1681285,4.4676676,2.2995391
2.4958913,4.4676676,1.9717763
4.8316665,2.0009315,-2.830735
4.6619096,5.50172,0.8398104
2.6492352,2.9372914,0.2880562
5.840043,5.630717,-0.209326
2.1681285,5.630717,3.4625885
1.4044223,5.630717,4.2262947
2.2253556,5.3656597,3.1403041
2.1253185,2.6656568,0.5403383
1.4044223,3.497618,2.0931957
2.291965,1.7983218,-0.4936432
1.4044223,1.6189569,0.2145346
5.840043,2.0009315,-3.8391115
1.4044223,5.50172,4.0972977
6.815943,4.2260942,-2.5898488
