redone_eng_ngram_surp,redone_zh_ngram_surp
5.4342823,5.630717
4.800256,5.630717
1.4044223,4.787219
1.4044223,2.0009315
2.291965,5.630717
1.851445,1.7983218
3.6234782,2.1462324
3.1333272,4.1126027
2.1681285,5.3656597
2.2007825,4.4676676
1.8430461,2.9538004
1.851445,3.7482193
2.4591918,2.1462324
2.4488244,5.2088337
6.3442974,2.7304764
3.010745,5.630717
4.26563,5.630717
2.0408018,2.343508
1.851445,2.6435702
3.1333272,2.1462324
3.6854436,5.3656597
1.4044223,2.9547913
5.0298457,5.630717
5.540118,5.630717
2.6782155,5.3656597
2.291965,1.6189569
4.800256,1.7983218
1.851445,4.787219
4.115872,2.1462324
3.010745,2.9488792
1.851445,4.62111
3.109845,2.1462324
2.4488244,2.9538004
4.239174,2.7304764
2.415916,4.787219
2.2074938,4.9487543
1.4044223,2.0287743
2.5903785,2.0009315
5.1767197,2.9538004
2.6782155,5.630717
3.939329,1.6189569
6.1544275,2.960785
3.010745,5.630717
3.1333272,4.20795
2.6782155,5.3656597
1.851445,1.6189569
1.4044223,2.1462324
2.4488244,2.0009315
3.010745,2.7304764
3.060125,5.630717
4.331524,4.787219
4.800256,3.8522584
2.291965,5.2088337
1.8430461,1.7983218
1.4044223,3.7482193
3.032883,2.0009315
3.348672,5.3656597
2.6782155,5.630717
4.307396,1.6189569
3.1333272,5.3656597
6.083623,5.3656597
1.851445,5.630717
5.0851774,2.1462324
4.115872,5.3656597
1.4044223,2.9488792
3.7358136,2.0009315
1.4044223,4.669745
2.554887,2.0009315
1.8430461,3.9682677
1.4044223,4.6707335
2.1681285,5.630717
2.1681285,4.4676676
3.4533527,4.4676676
5.371793,5.2088337
1.728569,5.630717
2.1618943,4.173788
1.851445,5.0596094
5.260498,2.1462324
2.1253185,5.3656597
6.3442974,2.7147827
4.0989366,5.630717
4.239174,5.50172
2.291965,4.787219
1.851445,1.7983218
2.6782155,2.1462324
2.4457333,1.6189569
4.800256,2.95678
2.2074938,4.787219
1.5715743,2.0287743
5.711828,2.646433
4.307396,2.3499491
3.5109944,5.3656597
5.2704287,5.2088337
2.4984846,4.62111
4.7338367,2.5225239
2.554887,5.50172
3.8160279,3.9682677
2.291965,5.630717
2.6782155,1.7983218
4.5919046,1.6189569
1.851445,5.630717
2.1681285,2.1462324
5.188303,4.4676676
2.4457333,4.4676676
6.618417,2.996527
1.4044223,4.8605194
1.4044223,2.0009315
5.4972258,5.630717
1.4044223,5.50172
4.26563,5.630717
4.364024,2.343508
2.2007825,5.630717
2.2250817,2.9538004
1.851445,3.0190659
1.851445,4.058983
4.800256,2.1462324
4.800256,4.787219
4.307396,4.787219
2.4488244,5.3656597
1.851445,2.7304764
2.4457333,2.1462324
1.4044223,4.4676676
3.7079575,2.0009315
1.4044223,5.630717
1.728569,3.0782664
2.1253185,4.173788
5.3542414,2.7147827
2.2074938,5.0596094
2.1681285,2.0287743
2.1681285,4.4676676
4.9557304,4.4676676
1.4044223,5.630717
1.4044223,5.50172
4.0700817,5.630717
4.26563,2.0009315
2.2074938,2.343508
3.9271984,2.0287743
6.618417,5.630717
1.4044223,4.8605194
1.4044223,5.50172
2.1681285,5.630717
2.6782155,4.4676676
1.851445,4.5773764
1.851445,2.1462324
2.1681285,2.1462324
5.371793,4.4676676
5.4554744,5.630717
1.4044223,5.50172
2.4457333,2.0009315
4.975648,2.996527
4.89071,5.630717
4.89071,2.9730263
3.3396797,2.9730263
3.9555223,5.630717
6.1544275,5.3656597
1.851445,5.630717
2.4591918,2.1462324
2.2074938,3.0031297
2.1253185,2.0287743
5.188303,5.50172
2.554887,5.0596094
4.800256,3.9682677
1.851445,4.787219
2.6782155,2.1462324
4.7338367,1.6189569
5.384667,5.50172
2.4488244,5.630717
2.4591918,2.7304764
4.26563,2.9233305
1.4044223,2.343508
4.800256,5.50172
2.1681285,4.787219
2.1681285,4.4676676
4.781648,4.4676676
1.4044223,4.9487543
1.4044223,2.0009315
6.945077,3.0782664
6.945077,1.6189569
4.364024,1.6189569
6.618417,5.630717
2.1618943,5.630717
2.554887,5.3656597
1.4044223,3.9682677
2.1681285,0.69700265
2.9402013,4.4676676
3.7188442,5.2088337
2.1681285,5.50172
6.083623,4.4676676
2.918483,5.2088337
5.540118,1.6189569
1.4044223,5.50172
6.945077,2.0009315
1.4044223,5.50172
4.0958734,2.0009315
4.800256,4.8605194
2.9715788,4.787219
6.618417,2.7304764
3.8882306,4.8605194
3.010745,5.2088337
4.0958734,4.20795
2.291965,4.8605194
2.1681285,1.7983218
2.1681285,4.4676676
5.371793,4.4676676
2.1681285,5.0596094
4.654271,4.4676676
1.728569,2.7274618
2.6782155,4.173788
2.226341,1.6189569
1.4044223,4.011261
5.4972258,4.8605194
3.010745,5.3656597
5.188303,4.20795
5.74051,5.630717
4.460548,5.630717
4.0700817,4.9487543
5.74051,5.50172
4.800256,5.630717
2.6782155,4.787219
4.161428,1.6189569
2.6782155,4.787219
4.460548,1.6189569
2.2007825,4.9487543
2.8942597,2.9538004
3.010745,5.0596094
2.1681285,4.62111
4.654271,4.4676676
1.4044223,2.7274618
4.800256,2.0009315
2.6782155,4.787219
1.4044223,1.6189569
4.7338367,5.50172
5.148603,5.50172
2.4488244,5.630717
2.226341,2.7304764
2.6782155,4.011261
3.010745,1.6189569
1.728569,4.20795
1.4044223,4.173788
1.4044223,5.630717
5.591405,2.0009315
2.2074938,4.787219
3.1333272,2.0287743
2.1681285,5.3656597
2.1681285,4.4676676
5.347135,4.4676676
1.851445,5.2088337
1.4044223,2.1462324
3.010745,2.0009315
2.4958913,4.20795
1.4044223,5.50172
2.6782155,2.0009315
3.7188442,1.6189569
4.800256,5.50172
4.800256,4.787219
2.6782155,4.787219
2.2074938,1.6189569
2.291965,2.0287743
2.554887,1.7983218
1.8430461,3.9682677
2.1681285,3.7482193
5.4059315,4.4676676
5.1380196,5.50172
2.2074938,2.343508
5.1336865,2.0287743
2.927896,5.50172
2.4457333,5.630717
5.4342823,4.4676676
1.851445,5.630717
5.74051,2.1462324
2.6782155,5.630717
2.2074938,1.6189569
2.1681285,2.0287743
5.74051,4.4676676
5.74051,5.630717
2.6782155,5.630717
2.1681285,1.6189569
5.425752,4.4676676
3.8979204,5.2088337
2.4984846,5.630717
3.4221182,5.50172
2.1681285,4.2260942
4.800256,5.3656597
2.7974894,4.787219
3.010745,4.9487543
5.0298457,4.20795
4.7338367,4.5773764
4.7338367,5.50172
5.4554744,5.50172
3.032883,5.50172
3.010745,5.630717
2.1681285,5.630717
4.9166074,4.4676676
3.6155865,5.630717
1.4044223,5.630717
4.800256,0.69700265
3.715344,4.787219
2.1681285,5.630717
1.4044223,2.996527
4.26563,2.0009315
0.8140271,5.0596094
4.460548,2.5700052
4.364024,4.9487543
4.800256,5.630717
3.857846,5.630717
2.226341,5.50172
5.4342823,4.011261
2.226341,4.8605194
2.6782155,2.9668624
1.4044223,1.6189569
2.1253185,2.0009315
3.010745,5.630717
5.0298457,5.630717
1.8430461,5.630717
2.415916,3.7482193
3.8996277,5.630717
1.851445,3.0441597
4.800256,2.1462324
2.2074938,4.787219
2.1681285,2.0287743
2.6782155,4.4676676
6.3442974,1.6189569
2.1681285,5.50172
6.3442974,4.4676676
2.291965,5.50172
2.554887,1.7983218
5.342226,5.630717
1.851445,5.630717
3.010745,2.1462324
4.364024,4.20795
2.4985485,5.630717
3.8996277,4.098564
3.6155865,3.0441597
2.1681285,5.630717
2.6782155,4.4676676
1.4044223,1.6189569
2.226341,2.799698
4.8865395,2.9668624
4.307396,5.630717
4.800256,5.3656597
4.307396,5.50172
2.6782155,5.3656597
2.226341,1.6189569
1.4044223,2.9668624
2.9644883,2.0009315
2.1681285,5.630717
3.715344,4.4676676
